ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G2460,G2536,Gamma2460_keV,Gamma2536_keV,fB,hard_qcd_side,f1_tensor_matched,input_mc,input_ms,input_m_ds1,input_m_ds1_2536,input_m_ds,input_f_ds1,input_f_ds,input_fT,input_ss,input_chi,input_f3g,input_ec,input_es,input_omegaA,input_omegaV
theta_fixed,3.7627987782411143,2.5584007388696266,35.3,-0.22504254578066973,-0.19867652190274418,-0.43098458228842457,0.23143941875206944,0.0008686416336109571,-0.2921899286812479,-0.06885893801144274,17.95660883191865,1.4715414535308986,0.4532931356775065,-0.09038962624479562,0.05989956979289511,1.2764375532160592,0.09983384543217903,2.459566151253961,2.535094168141741,1.9683079321961665,0.2239276277404703,0.24981804811399905,0.2536440735771501,-0.015168728623560451,3.3090033587790844,-0.002052368254464998,0.6666666666666666,-0.3333333333333333,-1.6452438919094605,5.1879108944375165
theta_fixed,3.529701488503602,2.595242469711409,35.3,-0.3724982581306938,-0.2618323067125303,-0.4836254692060593,0.2209535102857423,0.0008396522077866736,-0.42894214633589034,-0.15270803595608584,38.97081150025479,7.237556227876022,0.42250551562903127,-0.08640770453347478,0.05975478531366383,1.2694948024728383,0.11177866832036366,2.460890082658185,2.5351624954984886,1.9683703432258528,0.19554080360695375,0.2500960169199729,0.23714820264211053,-0.012936995087578663,3.29160016223549,-0.0028264158685367413,0.6666666666666666,-0.3333333333333333,-1.31819459575821,4.7238446646981815
theta_fixed,4.189098937266766,2.5489896937474468,35.3,-0.2836892638006719,-0.28307800074460066,-0.4596617124365627,0.17584663184374433,0.0007370798482177166,-0.39496260137537,-0.06795069106438814,32.746127593376215,1.4331363884326904,0.40754528497432857,-0.09794136930359904,0.06033675293473107,1.3035607356016696,0.09074488012548616,2.459280006138266,2.5351805402795136,1.9683732426216303,0.2565380191963162,0.25005472093623105,0.2310605860595455,-0.012530721698799365,2.823825980888107,-0.003926480175941304,0.6666666666666666,-0.3333333333333333,-1.9235956258673532,5.5514196270908185
theta_fixed,5.759760663653376,2.5981990210137624,35.3,-0.4699632631229376,-0.36057492310256384,-0.46897166242001576,0.10801917673055847,0.0003775625868934023,-0.5658506035600066,-0.17519371651504995,67.3296704114131,9.519604110067293,0.4141048174943476,-0.14150983560291475,0.05987565392522923,1.2749549972695895,0.10171445623272694,2.4596541396276894,2.5350887197746546,1.968436669517168,0.2340539768029211,0.24912012276277837,0.2317746400227278,-0.008173360659115362,2.9535136479213993,-0.0027098144211618533,0.6666666666666666,-0.3333333333333333,-2.49515293344811,0.3928963195478762
theta_fixed,4.7668696126826315,2.521754465406851,35.3,-0.37314072639667895,-0.2774745106714551,-0.40120436113270264,0.12324105934205024,0.000488791119197285,-0.4420795921643935,-0.14419341163856333,41.35118750803582,6.448937075015539,0.4549122638876112,-0.11549524683180432,0.05952185526414372,1.2554813023487954,0.07583520038338729,2.4607336272579925,2.5350639728782047,1.9684034306095892,0.22143816877443567,0.2503783178444271,0.24611855484890224,-0.010467507663484615,2.834064011075681,-0.004437731136775892,0.6666666666666666,-0.3333333333333333,-0.6497100081745477,2.09195871422207
theta_fixed,5.8024873098300604,2.5891161545431074,35.3,-0.3955960395712748,-0.26427506427100256,-0.4085457834271924,0.14380715646030595,0.000463562695883883,-0.4442830017145955,-0.1701474375575162,41.5231880956806,8.991982875345672,0.4697923219082167,-0.14461172266692085,0.05952494509492376,1.2541409486902797,0.09623698255871338,2.459524833353886,2.535191433352687,1.9682327321985302,0.2164830257800791,0.2511107911627814,0.2579348560225735,-0.011676854939312132,3.2083092352233957,-0.004899777371634366,0.6666666666666666,-0.3333333333333333,-3.252925462900046,3.7167605529003525
theta_fixed,5.924590083357282,2.5044205854175874,35.3,-0.3365260471571186,-0.2533693217852873,-0.3804322102748646,0.12658927590007935,0.00047361258949799007,-0.4012483698354731,-0.1282401627475071,33.71458212749613,5.10178506194433,0.45706060318683395,-0.1323359347018659,0.05966193311800233,1.2610189023384328,0.0950867869317368,2.4587841712360663,2.5350130461556684,1.9683126868231844,0.23499343541717957,0.2502611904718295,0.2520849497787873,-0.011651582064252486,2.8582078291092166,-0.004427420393002042,0.6666666666666666,-0.3333333333333333,-2.1312604000790154,3.1384903465557907
theta_fixed,3.3961592857701453,2.5434134716917365,35.3,-0.4578555750383043,-0.23726468084031146,-0.36695244044317477,0.1291525763931161,0.0005351832097472126,-0.45821595973452844,-0.23656794079603474,43.71817500355319,17.355179665935555,0.5358777026525644,-0.07938044259998966,0.05997482983352707,1.2784675214239214,0.0886255791901288,2.4578260700630157,2.5349980087286803,1.9683751301544365,0.1789438289230548,0.249488914112183,0.29806613209633886,-0.010020305761373879,3.117160009883195,-0.0031570471456088224,0.6666666666666666,-0.3333333333333333,-2.0325806122219725,-0.6518663113239953
theta_fixed,4.218618861515671,2.5725763428686372,35.3,-0.5382790576303614,-0.3291680998560661,-0.4371839085671319,0.10761230475599977,0.00040350395506603536,-0.5796951172454679,-0.2490974766794041,70.76206946468426,19.256708251549675,0.4509777664871154,-0.10846140217449456,0.05937853799493271,1.2459964660357412,0.08929799951804651,2.4597673073208712,2.535081296216206,1.9682988588973593,0.19638469148367654,0.2499274746622804,0.2448150741274567,-0.007831355030512873,3.0749976812937945,-0.004175331482250691,0.6666666666666666,-0.3333333333333333,-1.1411662425083189,3.818636983495397
theta_fixed,4.571169610384468,2.5717881791320676,35.3,-0.4052072245872015,-0.28614447493517414,-0.41804302212992994,0.1314084572925724,0.0004900899021834293,-0.4676853463713396,-0.1653540812411637,45.8169036597978,8.484089443734197,0.4536981972802864,-0.11149969644847602,0.06028906953220348,1.299902213398807,0.06730630241456242,2.4589183052971055,2.5351430049922077,1.968396389594027,0.19589473329894827,0.24970567830723955,0.25226541182539697,-0.009900870685625073,3.080373141688255,-0.006849649008056196,0.6666666666666666,-0.3333333333333333,-1.9878129480314761,4.412025461302274
